Gene Symbol,RNA-modifying proteins,Modification,Effector,RNA,Subcellular,annotation,complex,source,Organism
ADAR,Double-stranded RNA-specific adenosine deaminase,I,writer,mRNA,"cytosol,nucleus",ADAR1,,"MODOMICS,RNAME,Delaunay,S.2024",Homo sapiens
ADARB1,Double-stranded RNA-specific editase 1,I,writer,mRNA,"cytosol,nucleus",ADAR2,,"MODOMICS,RNAME,Delaunay,S.2024",Homo sapiens
ADAT1,Adenosine Deaminase TRNA Specific 1 ,I,writer,tRNA,nucleus,,,MODOMICS,Homo sapiens
ADAT2,tRNA-specific adenosine deaminase 2,I,writer,tRNA,nucleus,,,"MODOMICS,RNAME,Delaunay,S.2024",Homo sapiens
ADAT3,"HCG22695, isoform CRA_a",I,writer,tRNA,nucleus,,,"MODOMICS,RNAME,Delaunay,S.2024",Homo sapiens
ALKBH1,Nucleic acid dioxygenase ALKBH1,"m1A,m3C",eraser,"tRNA,mRNA","nucleus,mitochondrion","removing tRNA N(1)-methyladenine; In mitochondrion, form tRNA f(5)c, Demethylates mRNAs containing N(3)-methylcytidine modification",,"MODOMICS,RNAME,Delaunay,S.2024",Homo sapiens
ALKBH3,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,"m1A,m3C",eraser,"tRNA,mRNA","cytosol,nucleus,mitochondrion",,,"MODOMICS,RNAME,Delaunay,S.2024",Homo sapiens
ALKBH5,RNA demethylase ALKBH5,m6A,eraser,mRNA,"cytosol,mitochondrion",,,"MODOMICS,RNAME",Homo sapiens
ALKBH8,"AlkB Homolog 8, TRNA Methyltransferase","cm5U,mcm5U,mcm5s2U,ncm5U",writer,tRNA,"cytosol,nucleus",,,"MODOMICS,Delaunay,S.2024",Homo sapiens
BCDIN3D,BCDIN3 Domain Containing RNA Methyltransferase,Cap,writer,"tRNA,miRNA","cytosol,nucleus",5'-monomethylphosphate cap,,MODOMICS,Homo sapiens
BUD23,Probable 18S rRNA (guanine-N(7))-methyltransferase,m7G,writer,rRNA,nucleus,,,"MODOMICS,RNAME",Homo sapiens
CBLL1,Cbl Proto-Oncogene Like 1,m6A,writer,mRNA,"cytosol,nucleus",,WMM complex,"RNAME,Delaunay,S.2024",Homo sapiens
CDKAL1,CDKAL1 Threonylcarbamoyladenosine TRNA Methylthiotransferase,ms2t6A,writer,tRNA,endoplasmic reticulum,,,MODOMICS,Homo sapiens
CMTR1,Cap Methyltransferase 1,2′-O-Me,writer,"mRNA,snRNA",nucleus,cap,,"MODOMICS,Delaunay,S.2024",Homo sapiens
CMTR2,Cap Methyltransferase 2,2′-O-Me,writer,"mRNA,snRNA",nucleus,cap,,"MODOMICS,Delaunay,S.2024",Homo sapiens
CTU1,Cytosolic Thiouridylase Subunit 1,"cm5U,mcm5U,mcm5s2U,ncm5U",writer,tRNA,cytosol,,,"MODOMICS,Delaunay,S.2024",Homo sapiens
CTU2,Cytosolic Thiouridylase Subunit 2,"cm5U,mcm5U,mcm5s2U,ncm5U",writer,tRNA,cytosol,,,"Delaunay,S.2024",Homo sapiens
DCP1A,mRNA-decapping enzyme 1A,Cap,eraser,mRNA,"cytosol,nucleus",remove m7G,,RNAME,Homo sapiens
DCP1B,mRNA-decapping enzyme 1B,Cap,eraser,mRNA,"cytosol,nucleus",remove m7G,,RNAME,Homo sapiens
DCP2,m7GpppN-mRNA hydrolase,Cap,eraser,mRNA,"cytosol,nucleus",remove m7G,,"MODOMICS,RNAME",Homo sapiens
DCPS,"Decapping Enzyme, Scavenger",Cap,eraser,mRNA,"cytosol,nucleus",m⁷GpppN → m⁷GMP + 5′-P-oligoRNA,,MODOMICS,Homo sapiens
DDX21,DExD-Box Helicase 21,2′-O-Me,writer,rRNA,"cytosol,nucleus",,,MODOMICS,Homo sapiens
DIMT1,DIM1 RRNA Methyltransferase And Ribosome Maturation Factor,m⁶₂A,writer,rRNA,"cytosol,nucleus","on the 18S rRNA, two adjacent adenosines (A1781/A1782) are N(6)-dimethylated by Dim1 near the decoding site",,MODOMICS,Homo sapiens
DKC1,H/ACA ribonucleoprotein complex subunit DKC1,Ψ,writer,rRNA,nucleus,,H/ACA small nucleolar ribonucleoprotein (H/ACA snoRNP) complex,"MODOMICS,RNAME,Delaunay,S.2024",Homo sapiens
DTWD1,DTW Motif TRNA-Uridine Aminocarboxypropyltransferase 1,acp3U,writer,tRNA,nucleus,,,MODOMICS,Homo sapiens
DTWD2,DTW Motif TRNA-Uridine Aminocarboxypropyltransferase 2,acp3U,writer,tRNA,nucleus,,,MODOMICS,Homo sapiens
DUS2,Dihydrouridine Synthase 2,D,writer,tRNA,"cytosol,mitochondrion",Catalyzes the NADPH-dependent synthesis of dihydrouridine,,MODOMICS,Homo sapiens
DXO,Decapping Exoribonuclease,Cap,eraser,mRNA,"cytosol,nucleus",Decapping enzyme for NAD-capped RNAs,,MODOMICS,Homo sapiens
ELP1,Elongator Acetyltransferase Complex Subunit 1,"cm5U,mcm5U,mcm5s2U,ncm5U",writer,tRNA,"cytosol,nucleus",,Elongator Acetyltransferase Complex ,"MODOMICS,Delaunay,S.2024",Homo sapiens
ELP2,Elongator Acetyltransferase Complex Subunit 2,"cm5U,mcm5U,mcm5s2U,ncm5U",writer,tRNA,"cytosol,nucleus",,Elongator Acetyltransferase Complex ,"Delaunay,S.2024",Homo sapiens
ELP3,Elongator Acetyltransferase Complex Subunit 3,"cm5U,mcm5U,mcm5s2U,ncm5U",writer,tRNA,"cytosol,nucleus",,Elongator Acetyltransferase Complex ,"MODOMICS,Delaunay,S.2024",Homo sapiens
ELP4,Elongator Acetyltransferase Complex Subunit 4,"cm5U,mcm5U,mcm5s2U,ncm5U",writer,tRNA,nucleus,,Elongator Acetyltransferase Complex ,"Delaunay,S.2024",Homo sapiens
ELP5,Elongator Acetyltransferase Complex Subunit 5,"cm5U,mcm5U,mcm5s2U,ncm5U",writer,tRNA,"cytosol,nucleus",,Elongator Acetyltransferase Complex ,"Delaunay,S.2024",Homo sapiens
